Slide ID,Options,Correct ID
HIND4700548,How much are those shoes in the window over there?,1
HIND4700548,How much are these shoes in the window over there?,1
HIND4700548,How much are that shoes in the window over there?,1
HIND4700548,How much are this shoes in the window over there?,1
HIND4060599,My brown skirt fit me well.,2
HIND4060599,My brown skirt fits me well.,2
HIND4060599,My brown skirt is fit me well.,2
HIND4060599,My brown skirt is fits me well.,2
HIND6462367,Mohan is go to be three in June.,2
HIND6462367,Mohan is going to be three in June.,2
HIND6462367,Mohan is will be three in June.,2
HIND6462367,Mohan is going to three in June.,2
HIND7137001,I prefer relaxed on weekends.,3
HIND7137001,I prefer relax on weekends.,3
HIND7137001,I prefer relaxing on weekends.,3
HIND7137001,I prefer to relaxed on weekends.,3
HIND4554774,Are there a supermarket in this neighborhood.,2
HIND4554774,There isn't a supermarket in this neighborhood.,2
HIND4554774,Is there a supermarket in this neighborhood.,2
HIND4554774,,2
HIND3453742,John and I is good chess players.,3
HIND3453742,John and I am good chess players.,3
HIND3453742,John and I are good chess players.,3
HIND3453742,,3
HIND4446526,New York has busy streets.,1
HIND4446526,New York has busy place.,1
HIND4446526,New York has busy city.,1
HIND4446526,New York has busy is street.,1
HIND3578403,Your friend speak Japanese.,3
HIND3578403,Your friend speaking Japanese.,3
HIND3578403,Your friend speaks Japanese.,3
HIND3578403,,3
HIND3588242,Does your sisters speak English?,2
HIND3588242,Do your sisters speak English?,2
HIND3588242,Are your sisters speak English?,2
HIND3588242,,2
HIND4703799,Can I try this skirt on?,1
HIND4703799,Can I try these skirt on?,1
HIND4703799,Can I try those skirt on?,1
HIND4703799,,1
HIND6557857,We will go out for breakfast.,1
HIND6557857,We will have out for breakfast.,1
HIND6557857,We will to have out for breakfast.,1
HIND6557857,We will going out for breakfast.,1
HIND3938068,Does Sarah has a daughter?,2
HIND3938068,Does Sarah have a daughter?,2
HIND3938068,Does Sarah is has a daughter?,2
HIND3938068,,2
HIND3585812,Our brothers speak Japanese.,1
