,Unnamed: 0,Slide ID,Options,Correct ID,pos_array,pos_delta
0,0,HIND6199593,We came in early today because we had a meeting.,1,"[""('We', 'PRP')"", ""('came', 'VBD')"", ""('in', 'IN')"", ""('early', 'RB')"", ""('today', 'NN')"", ""('because', 'IN')"", ""('we', 'PRP')"", ""('had', 'VBD')"", ""('a', 'DT')"", ""('meeting', 'NN')"", ""('.', '.')""]",[]
1,1,HIND6199593,We came in early today so we had a meeting.,1,"[""('We', 'PRP')"", ""('came', 'VBD')"", ""('in', 'IN')"", ""('early', 'JJ')"", ""('today', 'NN')"", ""('so', 'IN')"", ""('we', 'PRP')"", ""('had', 'VBD')"", ""('a', 'DT')"", ""('meeting', 'NN')"", ""('.', '.')""]","[""('so', 'IN')"", ""('early', 'JJ')""]"
2,2,HIND6199593,We came in early today but we had a meeting.,1,"[""('We', 'PRP')"", ""('came', 'VBD')"", ""('in', 'IN')"", ""('early', 'JJ')"", ""('today', 'NN')"", ""('but', 'CC')"", ""('we', 'PRP')"", ""('had', 'VBD')"", ""('a', 'DT')"", ""('meeting', 'NN')"", ""('.', '.')""]","[""('but', 'CC')"", ""('early', 'JJ')""]"
3,3,HIND6199593,We came in early today that's why we had a meeting.,1,"[""('We', 'PRP')"", ""('came', 'VBD')"", ""('in', 'IN')"", ""('early', 'JJ')"", ""('today', 'NN')"", ""('that', 'WDT')"", '(""\'s"", \'VBZ\')', ""('why', 'WRB')"", ""('we', 'PRP')"", ""('had', 'VBD')"", ""('a', 'DT')"", ""('meeting', 'NN')"", ""('.', '.')""]","[""('why', 'WRB')"", ""('that', 'WDT')"", ""('early', 'JJ')"", '(""\'s"", \'VBZ\')']"
4,4,HIND6345499,Whose your favorite singer?,2,"[""('Whose', 'VB')"", ""('your', 'PRP$')"", ""('favorite', 'JJ')"", ""('singer', 'NN')"", ""('?', '.')""]","[""('Whose', 'VB')""]"
5,5,HIND6345499,Who is your favorite singer?,2,"[""('Who', 'WP')"", ""('is', 'VBZ')"", ""('your', 'PRP$')"", ""('favorite', 'JJ')"", ""('singer', 'NN')"", ""('?', '.')""]",[]
6,6,HIND6345499,Who is yours favorite singer?,2,"[""('Who', 'WP')"", ""('is', 'VBZ')"", ""('yours', 'RB')"", ""('favorite', 'JJ')"", ""('singer', 'NN')"", ""('?', '.')""]","[""('yours', 'RB')""]"
7,7,HIND6345499,Whom is your favorite singer?,2,"[""('Whom', 'NNP')"", ""('is', 'VBZ')"", ""('your', 'PRP$')"", ""('favorite', 'JJ')"", ""('singer', 'NN')"", ""('?', '.')""]","[""('Whom', 'NNP')""]"
8,8,HIND6349970,Who got the Filmfare award?,1,"[""('Who', 'WP')"", ""('got', 'VBD')"", ""('the', 'DT')"", ""('Filmfare', 'NNP')"", ""('award', 'NN')"", ""('?', '.')""]",[]
9,9,HIND6349970,Whose got the Filmfare award?,1,"[""('Whose', 'NNP')"", ""('got', 'VBD')"", ""('the', 'DT')"", ""('Filmfare', 'NNP')"", ""('award', 'NN')"", ""('?', '.')""]","[""('Whose', 'NNP')""]"
10,10,HIND6349970,Who is got the Filmfare award?,1,"[""('Who', 'WP')"", ""('is', 'VBZ')"", ""('got', 'VBD')"", ""('the', 'DT')"", ""('Filmfare', 'NNP')"", ""('award', 'NN')"", ""('?', '.')""]","[""('is', 'VBZ')""]"
11,11,HIND6349970,Who gots the Filmfare award?,1,"[""('Who', 'WP')"", ""('gots', 'VBD')"", ""('the', 'DT')"", ""('Filmfare', 'NNP')"", ""('award', 'NN')"", ""('?', '.')""]","[""('gots', 'VBD')""]"
12,12,HIND6352737,Which is your favorite movie?,1,"[""('Which', 'WDT')"", ""('is', 'VBZ')"", ""('your', 'PRP$')"", ""('favorite', 'JJ')"", ""('movie', 'NN')"", ""('?', '.')""]",[]
13,13,HIND6352737,Who is your favorite movie?,1,"[""('Who', 'WP')"", ""('is', 'VBZ')"", ""('your', 'PRP$')"", ""('favorite', 'JJ')"", ""('movie', 'NN')"", ""('?', '.')""]","[""('Who', 'WP')""]"
14,14,HIND6352737,Whose your favorite movie?,1,"[""('Whose', 'VB')"", ""('your', 'PRP$')"", ""('favorite', 'JJ')"", ""('movie', 'NN')"", ""('?', '.')""]","[""('Whose', 'VB')""]"
15,15,HIND6352737,Which is yours favorite movie?,1,"[""('Which', 'WDT')"", ""('is', 'VBZ')"", ""('yours', 'JJ')"", ""('favorite', 'JJ')"", ""('movie', 'NN')"", ""('?', '.')""]","[""('yours', 'JJ')""]"
16,16,HIND6357505,Which movie is releasing this Friday?,1,"[""('Which', 'JJ')"", ""('movie', 'NN')"", ""('is', 'VBZ')"", ""('releasing', 'VBG')"", ""('this', 'DT')"", ""('Friday', 'NNP')"", ""('?', '.')""]",[]
