,Slide ID,Options,Correct ID,pos_array
0,HIND4525628,Is there three banks next to my house.,3,"[('Is', 'VBZ'), ('there', 'EX'), ('three', 'CD'), ('banks', 'NNS'), ('next', 'IN'), ('to', 'TO'), ('my', 'PRP$'), ('house', 'NN'), ('.', '.')]"
1,HIND4525628,There three banks next to my house.,3,"[('There', 'EX'), ('three', 'CD'), ('banks', 'NNS'), ('next', 'IN'), ('to', 'TO'), ('my', 'PRP$'), ('house', 'NN'), ('.', '.')]"
2,HIND4525628,There are three banks next to my house.,3,"[('There', 'EX'), ('are', 'VBP'), ('three', 'CD'), ('banks', 'NNS'), ('next', 'IN'), ('to', 'TO'), ('my', 'PRP$'), ('house', 'NN'), ('.', '.')]"
3,HIND4525628, ,3,[]
4,HIND4528144,There aren't three banks next to my house.,1,"[('There', 'EX'), ('are', 'VBP'), (""n't"", 'RB'), ('three', 'CD'), ('banks', 'NNS'), ('next', 'IN'), ('to', 'TO'), ('my', 'PRP$'), ('house', 'NN'), ('.', '.')]"
5,HIND4528144,There isn't three banks next to my house.,1,"[('There', 'EX'), ('is', 'VBZ'), (""n't"", 'RB'), ('three', 'CD'), ('banks', 'NNS'), ('next', 'IN'), ('to', 'TO'), ('my', 'PRP$'), ('house', 'NN'), ('.', '.')]"
6,HIND4528144,Not three banks next to my house.,1,"[('Not', 'RB'), ('three', 'CD'), ('banks', 'NNS'), ('next', 'IN'), ('to', 'TO'), ('my', 'PRP$'), ('house', 'NN'), ('.', '.')]"
7,HIND4528144, ,1,[]
8,HIND4529546,Is there a mall next to the restaurant?,1,"[('Is', 'VBZ'), ('there', 'EX'), ('a', 'DT'), ('mall', 'NN'), ('next', 'JJ'), ('to', 'TO'), ('the', 'DT'), ('restaurant', 'NN'), ('?', '.')]"
9,HIND4529546,There are a mall next to the restaurant?,1,"[('There', 'EX'), ('are', 'VBP'), ('a', 'DT'), ('mall', 'JJ'), ('next', 'JJ'), ('to', 'TO'), ('the', 'DT'), ('restaurant', 'NN'), ('?', '.')]"
10,HIND4529546,Are a mall next to the restaurant?,1,"[('Are', 'VBP'), ('a', 'DT'), ('mall', 'JJ'), ('next', 'JJ'), ('to', 'TO'), ('the', 'DT'), ('restaurant', 'NN'), ('?', '.')]"
11,HIND4529546, ,1,[]
12,HIND4530922,There is a temple near my house.,1,"[('There', 'EX'), ('is', 'VBZ'), ('a', 'DT'), ('temple', 'NN'), ('near', 'IN'), ('my', 'PRP$'), ('house', 'NN'), ('.', '.')]"
13,HIND4530922,There are a temple near my house.,1,"[('There', 'EX'), ('are', 'VBP'), ('a', 'DT'), ('temple', 'NN'), ('near', 'IN'), ('my', 'PRP$'), ('house', 'NN'), ('.', '.')]"
14,HIND4530922,Is a temple near my house.,1,"[('Is', 'VBZ'), ('a', 'DT'), ('temple', 'NN'), ('near', 'IN'), ('my', 'PRP$'), ('house', 'NN'), ('.', '.')]"
15,HIND4530922, ,1,[]
16,HIND4789049,I want some juice.,1,"[('I', 'PRP'), ('want', 'VBP'), ('some', 'DT'), ('juice', 'NN'), ('.', '.')]"
17,HIND4789049,I want few juice.,1,"[('I', 'PRP'), ('want', 'VBP'), ('few', 'JJ'), ('juice', 'NN'), ('.', '.')]"
18,HIND4789049,I want many juice.,1,"[('I', 'PRP'), ('want', 'VBP'), ('many', 'JJ'), ('juice', 'NN'), ('.', '.')]"
19,HIND4789049, ,1,[]
20,HIND4858343,I have a videos.,3,"[('I', 'PRP'), ('have', 'VBP'), ('a', 'DT'), ('videos', 'NN'), ('.', '.')]"
21,HIND4858343,I have any videos.,3,"[('I', 'PRP'), ('have', 'VBP'), ('any', 'DT'), ('videos', 'NNS'), ('.', '.')]"
22,HIND4858343,I have some videos.,3,"[('I', 'PRP'), ('have', 'VBP'), ('some', 'DT'), ('videos', 'NNS'), ('.', '.')]"
23,HIND4858343,I have much videos.,3,"[('I', 'PRP'), ('have', 'VBP'), ('much', 'JJ'), ('videos', 'NNS'), ('.', '.')]"
24,HIND4860165,"I don't have any skirts, but I have a dresses.",3,"[('I', 'PRP'), ('do', 'VBP'), (""n't"", 'RB'), ('have', 'VB'), ('any', 'DT'), ('skirts', 'NNS'), (',', ','), ('but', 'CC'), ('I', 'PRP'), ('have', 'VBP'), ('a', 'DT'), ('dresses', 'NNS'), ('.', '.')]"
25,HIND4860165,"I don't have any skirts, but I have any dresses.",3,"[('I', 'PRP'), ('do', 'VBP'), (""n't"", 'RB'), ('have', 'VB'), ('any', 'DT'), ('skirts', 'NNS'), (',', ','), ('but', 'CC'), ('I', 'PRP'), ('have', 'VBP'), ('any', 'DT'), ('dresses', 'NNS'), ('.', '.')]"
26,HIND4860165,"I don't have any skirts, but I have some dresses.",3,"[('I', 'PRP'), ('do', 'VBP'), (""n't"", 'RB'), ('have', 'VB'), ('any', 'DT'), ('skirts', 'NNS'), (',', ','), ('but', 'CC'), ('I', 'PRP'), ('have', 'VBP'), ('some', 'DT'), ('dresses', 'NNS'), ('.', '.')]"
27,HIND4860165,"I don't have any skirts, but I have much dresses.",3,"[('I', 'PRP'), ('do', 'VBP'), (""n't"", 'RB'), ('have', 'VB'), ('any', 'DT'), ('skirts', 'NNS'), (',', ','), ('but', 'CC'), ('I', 'PRP'), ('have', 'VBP'), ('much', 'JJ'), ('dresses', 'NNS'), ('.', '.')]"
28,HIND4871073,She is a student.,1,"[('She', 'PRP'), ('is', 'VBZ'), ('a', 'DT'), ('student', 'NN'), ('.', '.')]"
29,HIND4871073,She is an student.,1,"[('She', 'PRP'), ('is', 'VBZ'), ('an', 'DT'), ('student', 'NN'), ('.', '.')]"
30,HIND4871073,She is the student.,1,"[('She', 'PRP'), ('is', 'VBZ'), ('the', 'DT'), ('student', 'NN'), ('.', '.')]"
31,HIND4871073, ,1,[]
32,HIND4878167,He is an principal of my school.,2,"[('He', 'PRP'), ('is', 'VBZ'), ('an', 'DT'), ('principal', 'NN'), ('of', 'IN'), ('my', 'PRP$'), ('school', 'NN'), ('.', '.')]"
33,HIND4878167,He is the principal of my school.,2,"[('He', 'PRP'), ('is', 'VBZ'), ('the', 'DT'), ('principal', 'NN'), ('of', 'IN'), ('my', 'PRP$'), ('school', 'NN'), ('.', '.')]"
34,HIND4878167,He is a principal of my school.,2,"[('He', 'PRP'), ('is', 'VBZ'), ('a', 'DT'), ('principal', 'NN'), ('of', 'IN'), ('my', 'PRP$'), ('school', 'NN'), ('.', '.')]"
35,HIND4878167, ,2,[]
36,HIND4879395,He is a peon.,1,"[('He', 'PRP'), ('is', 'VBZ'), ('a', 'DT'), ('peon', 'NN'), ('.', '.')]"
37,HIND4879395,He is an peon.,1,"[('He', 'PRP'), ('is', 'VBZ'), ('an', 'DT'), ('peon', 'NN'), ('.', '.')]"
38,HIND4879395,He is the peon.,1,"[('He', 'PRP'), ('is', 'VBZ'), ('the', 'DT'), ('peon', 'NN'), ('.', '.')]"
39,HIND4879395, ,1,[]
40,HIND4880610,Ram wants an bicycle.,2,"[('Ram', 'NNP'), ('wants', 'VBZ'), ('an', 'DT'), ('bicycle', 'NN'), ('.', '.')]"
41,HIND4880610,Ram wants a bicycle.,2,"[('Ram', 'NNP'), ('wants', 'VBZ'), ('a', 'DT'), ('bicycle', 'NN'), ('.', '.')]"
42,HIND4880610,Ram wants the bicycle.,2,"[('Ram', 'NNP'), ('wants', 'VBZ'), ('the', 'DT'), ('bicycle', 'NN'), ('.', '.')]"
43,HIND4880610, ,2,[]
44,HIND4882072,I have a car. The car is black.,1,"[('I', 'PRP'), ('have', 'VBP'), ('a', 'DT'), ('car', 'NN'), ('.', '.'), ('The', 'DT'), ('car', 'NN'), ('is', 'VBZ'), ('black', 'JJ'), ('.', '.')]"
45,HIND4882072,I have a car. A car is black.,1,"[('I', 'PRP'), ('have', 'VBP'), ('a', 'DT'), ('car', 'NN'), ('.', '.'), ('A', 'DT'), ('car', 'NN'), ('is', 'VBZ'), ('black', 'JJ'), ('.', '.')]"
46,HIND4882072,I have a car. An car is black.,1,"[('I', 'PRP'), ('have', 'VBP'), ('a', 'DT'), ('car', 'NN'), ('.', '.'), ('An', 'DT'), ('car', 'NN'), ('is', 'VBZ'), ('black', 'JJ'), ('.', '.')]"
47,HIND4882072, ,1,[]
48,HIND4883531,He is the great speaker.,2,"[('He', 'PRP'), ('is', 'VBZ'), ('the', 'DT'), ('great', 'JJ'), ('speaker', 'NN'), ('.', '.')]"
49,HIND4883531,He is a great speaker.,2,"[('He', 'PRP'), ('is', 'VBZ'), ('a', 'DT'), ('great', 'JJ'), ('speaker', 'NN'), ('.', '.')]"
50,HIND4883531,He is an great speaker.,2,"[('He', 'PRP'), ('is', 'VBZ'), ('an', 'DT'), ('great', 'JJ'), ('speaker', 'NN'), ('.', '.')]"
51,HIND4883531, ,2,[]
52,HIND4884750,Nobody lives on a moon.,3,"[('Nobody', 'NN'), ('lives', 'VBZ'), ('on', 'IN'), ('a', 'DT'), ('moon', 'NN'), ('.', '.')]"
53,HIND4884750,Nobody lives on an moon.,3,"[('Nobody', 'NN'), ('lives', 'VBZ'), ('on', 'IN'), ('an', 'DT'), ('moon', 'NN'), ('.', '.')]"
54,HIND4884750,Nobody lives on the moon.,3,"[('Nobody', 'NN'), ('lives', 'VBZ'), ('on', 'IN'), ('the', 'DT'), ('moon', 'NN'), ('.', '.')]"
55,HIND4884750, ,3,[]
56,HIND4885962,This is an excellent book.,1,"[('This', 'DT'), ('is', 'VBZ'), ('an', 'DT'), ('excellent', 'JJ'), ('book', 'NN'), ('.', '.')]"
57,HIND4885962,This is a excellent book.,1,"[('This', 'DT'), ('is', 'VBZ'), ('a', 'DT'), ('excellent', 'JJ'), ('book', 'NN'), ('.', '.')]"
58,HIND4885962,This is the excellent book.,1,"[('This', 'DT'), ('is', 'VBZ'), ('the', 'DT'), ('excellent', 'JJ'), ('book', 'NN'), ('.', '.')]"
59,HIND4885962, ,1,[]
60,HIND4887179,A weather in Delhi is very nice.,3,"[('A', 'DT'), ('weather', 'NN'), ('in', 'IN'), ('Delhi', 'NNP'), ('is', 'VBZ'), ('very', 'RB'), ('nice', 'JJ'), ('.', '.')]"
61,HIND4887179,An weather in Delhi is very nice.,3,"[('An', 'DT'), ('weather', 'NN'), ('in', 'IN'), ('Delhi', 'NNP'), ('is', 'VBZ'), ('very', 'RB'), ('nice', 'JJ'), ('.', '.')]"
62,HIND4887179,The weather in Delhi is very nice.,3,"[('The', 'DT'), ('weather', 'NN'), ('in', 'IN'), ('Delhi', 'NNP'), ('is', 'VBZ'), ('very', 'RB'), ('nice', 'JJ'), ('.', '.')]"
63,HIND4887179, ,3,[]
64,HIND4888392,I love to visit the Taj Mahal.,1,"[('I', 'PRP'), ('love', 'VBP'), ('to', 'TO'), ('visit', 'VB'), ('the', 'DT'), ('Taj', 'NNP'), ('Mahal', 'NNP'), ('.', '.')]"
65,HIND4888392,I love to visit a Taj Mahal.,1,"[('I', 'PRP'), ('love', 'VBP'), ('to', 'TO'), ('visit', 'VB'), ('a', 'DT'), ('Taj', 'NNP'), ('Mahal', 'NNP'), ('.', '.')]"
66,HIND4888392,I love to visit an Taj Mahal.,1,"[('I', 'PRP'), ('love', 'VBP'), ('to', 'TO'), ('visit', 'VB'), ('an', 'DT'), ('Taj', 'NNP'), ('Mahal', 'NNP'), ('.', '.')]"
67,HIND4888392, ,1,[]
68,HIND4889609,The Statue of Liberty is one of the seven wonders in the world.,1,"[('The', 'DT'), ('Statue', 'NNP'), ('of', 'IN'), ('Liberty', 'NNP'), ('is', 'VBZ'), ('one', 'CD'), ('of', 'IN'), ('the', 'DT'), ('seven', 'CD'), ('wonders', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('world', 'NN'), ('.', '.')]"
69,HIND4889609,A Statue of Liberty is one of the seven wonders in the world.,1,"[('A', 'DT'), ('Statue', 'NNP'), ('of', 'IN'), ('Liberty', 'NNP'), ('is', 'VBZ'), ('one', 'CD'), ('of', 'IN'), ('the', 'DT'), ('seven', 'CD'), ('wonders', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('world', 'NN'), ('.', '.')]"
70,HIND4889609,An Statue of Liberty is one of the seven wonders in the world.,1,"[('An', 'DT'), ('Statue', 'NNP'), ('of', 'IN'), ('Liberty', 'NNP'), ('is', 'VBZ'), ('one', 'CD'), ('of', 'IN'), ('the', 'DT'), ('seven', 'CD'), ('wonders', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('world', 'NN'), ('.', '.')]"
71,HIND4889609, ,1,[]
72,HIND4890824,I am a engineer.,2,"[('I', 'PRP'), ('am', 'VBP'), ('a', 'DT'), ('engineer', 'NN'), ('.', '.')]"
73,HIND4890824,I am an engineer.,2,"[('I', 'PRP'), ('am', 'VBP'), ('an', 'DT'), ('engineer', 'NN'), ('.', '.')]"
