,Unnamed: 0,Slide ID,Options,Correct ID,pos_array,pos_delta
0,0,HIND4525628,Is there three banks next to my house.,3,"[""('Is', 'VBZ')"", ""('there', 'EX')"", ""('three', 'CD')"", ""('banks', 'NNS')"", ""('next', 'IN')"", ""('to', 'TO')"", ""('my', 'PRP$')"", ""('house', 'NN')"", ""('.', '.')""]","[""('Is', 'VBZ')"", ""('there', 'EX')""]"
1,1,HIND4525628,There three banks next to my house.,3,"[""('There', 'EX')"", ""('three', 'CD')"", ""('banks', 'NNS')"", ""('next', 'IN')"", ""('to', 'TO')"", ""('my', 'PRP$')"", ""('house', 'NN')"", ""('.', '.')""]",[]
2,2,HIND4525628,There are three banks next to my house.,3,"[""('There', 'EX')"", ""('are', 'VBP')"", ""('three', 'CD')"", ""('banks', 'NNS')"", ""('next', 'IN')"", ""('to', 'TO')"", ""('my', 'PRP$')"", ""('house', 'NN')"", ""('.', '.')""]",[]
3,3,HIND4525628, ,3,[],[]
4,4,HIND4528144,There aren't three banks next to my house.,1,"[""('There', 'EX')"", ""('are', 'VBP')"", '(""n\'t"", \'RB\')', ""('three', 'CD')"", ""('banks', 'NNS')"", ""('next', 'IN')"", ""('to', 'TO')"", ""('my', 'PRP$')"", ""('house', 'NN')"", ""('.', '.')""]",[]
5,5,HIND4528144,There isn't three banks next to my house.,1,"[""('There', 'EX')"", ""('is', 'VBZ')"", '(""n\'t"", \'RB\')', ""('three', 'CD')"", ""('banks', 'NNS')"", ""('next', 'IN')"", ""('to', 'TO')"", ""('my', 'PRP$')"", ""('house', 'NN')"", ""('.', '.')""]","[""('is', 'VBZ')""]"
6,6,HIND4528144,Not three banks next to my house.,1,"[""('Not', 'RB')"", ""('three', 'CD')"", ""('banks', 'NNS')"", ""('next', 'IN')"", ""('to', 'TO')"", ""('my', 'PRP$')"", ""('house', 'NN')"", ""('.', '.')""]","[""('Not', 'RB')""]"
7,7,HIND4528144, ,1,[],[]
8,8,HIND4529546,Is there a mall next to the restaurant?,1,"[""('Is', 'VBZ')"", ""('there', 'EX')"", ""('a', 'DT')"", ""('mall', 'NN')"", ""('next', 'JJ')"", ""('to', 'TO')"", ""('the', 'DT')"", ""('restaurant', 'NN')"", ""('?', '.')""]",[]
9,9,HIND4529546,There are a mall next to the restaurant?,1,"[""('There', 'EX')"", ""('are', 'VBP')"", ""('a', 'DT')"", ""('mall', 'JJ')"", ""('next', 'JJ')"", ""('to', 'TO')"", ""('the', 'DT')"", ""('restaurant', 'NN')"", ""('?', '.')""]","[""('There', 'EX')"", ""('mall', 'JJ')"", ""('are', 'VBP')""]"
10,10,HIND4529546,Are a mall next to the restaurant?,1,"[""('Are', 'VBP')"", ""('a', 'DT')"", ""('mall', 'JJ')"", ""('next', 'JJ')"", ""('to', 'TO')"", ""('the', 'DT')"", ""('restaurant', 'NN')"", ""('?', '.')""]","[""('mall', 'JJ')"", ""('Are', 'VBP')""]"
11,11,HIND4529546, ,1,[],[]
12,12,HIND4530922,There is a temple near my house.,1,"[""('There', 'EX')"", ""('is', 'VBZ')"", ""('a', 'DT')"", ""('temple', 'NN')"", ""('near', 'IN')"", ""('my', 'PRP$')"", ""('house', 'NN')"", ""('.', '.')""]",[]
13,13,HIND4530922,There are a temple near my house.,1,"[""('There', 'EX')"", ""('are', 'VBP')"", ""('a', 'DT')"", ""('temple', 'NN')"", ""('near', 'IN')"", ""('my', 'PRP$')"", ""('house', 'NN')"", ""('.', '.')""]","[""('are', 'VBP')""]"
14,14,HIND4530922,Is a temple near my house.,1,"[""('Is', 'VBZ')"", ""('a', 'DT')"", ""('temple', 'NN')"", ""('near', 'IN')"", ""('my', 'PRP$')"", ""('house', 'NN')"", ""('.', '.')""]","[""('Is', 'VBZ')""]"
15,15,HIND4530922, ,1,[],[]
16,16,HIND4789049,I want some juice.,1,"[""('I', 'PRP')"", ""('want', 'VBP')"", ""('some', 'DT')"", ""('juice', 'NN')"", ""('.', '.')""]",[]
17,17,HIND4789049,I want few juice.,1,"[""('I', 'PRP')"", ""('want', 'VBP')"", ""('few', 'JJ')"", ""('juice', 'NN')"", ""('.', '.')""]","[""('few', 'JJ')""]"
18,18,HIND4789049,I want many juice.,1,"[""('I', 'PRP')"", ""('want', 'VBP')"", ""('many', 'JJ')"", ""('juice', 'NN')"", ""('.', '.')""]","[""('many', 'JJ')""]"
19,19,HIND4789049, ,1,[],[]
20,20,HIND4858343,I have a videos.,3,"[""('I', 'PRP')"", ""('have', 'VBP')"", ""('a', 'DT')"", ""('videos', 'NN')"", ""('.', '.')""]","[""('videos', 'NN')"", ""('a', 'DT')""]"
21,21,HIND4858343,I have any videos.,3,"[""('I', 'PRP')"", ""('have', 'VBP')"", ""('any', 'DT')"", ""('videos', 'NNS')"", ""('.', '.')""]","[""('any', 'DT')""]"
22,22,HIND4858343,I have some videos.,3,"[""('I', 'PRP')"", ""('have', 'VBP')"", ""('some', 'DT')"", ""('videos', 'NNS')"", ""('.', '.')""]",[]
23,23,HIND4858343,I have much videos.,3,"[""('I', 'PRP')"", ""('have', 'VBP')"", ""('much', 'JJ')"", ""('videos', 'NNS')"", ""('.', '.')""]","[""('much', 'JJ')""]"
24,24,HIND4860165,"I don't have any skirts, but I have a dresses.",3,"[""('I', 'PRP')"", ""('do', 'VBP')"", '(""n\'t"", \'RB\')', ""('have', 'VB')"", ""('any', 'DT')"", ""('skirts', 'NNS')"", ""(',', ',')"", ""('but', 'CC')"", ""('I', 'PRP')"", ""('have', 'VBP')"", ""('a', 'DT')"", ""('dresses', 'NNS')"", ""('.', '.')""]","[""('a', 'DT')""]"
25,25,HIND4860165,"I don't have any skirts, but I have any dresses.",3,"[""('I', 'PRP')"", ""('do', 'VBP')"", '(""n\'t"", \'RB\')', ""('have', 'VB')"", ""('any', 'DT')"", ""('skirts', 'NNS')"", ""(',', ',')"", ""('but', 'CC')"", ""('I', 'PRP')"", ""('have', 'VBP')"", ""('any', 'DT')"", ""('dresses', 'NNS')"", ""('.', '.')""]",[]
26,26,HIND4860165,"I don't have any skirts, but I have some dresses.",3,"[""('I', 'PRP')"", ""('do', 'VBP')"", '(""n\'t"", \'RB\')', ""('have', 'VB')"", ""('any', 'DT')"", ""('skirts', 'NNS')"", ""(',', ',')"", ""('but', 'CC')"", ""('I', 'PRP')"", ""('have', 'VBP')"", ""('some', 'DT')"", ""('dresses', 'NNS')"", ""('.', '.')""]",[]
