Slide ID,Options,Correct ID
HIND6199593,We came in early today because we had a meeting.,1
HIND6199593,We came in early today so we had a meeting.,1
HIND6199593,We came in early today but we had a meeting.,1
HIND6199593,We came in early today that's why we had a meeting.,1
HIND6345499,Whose your favorite singer?,2
HIND6345499,Who is your favorite singer?,2
HIND6345499,Who is yours favorite singer?,2
HIND6345499,Whom is your favorite singer?,2
HIND6349970,Who got the Filmfare award?,1
HIND6349970,Whose got the Filmfare award?,1
HIND6349970,Who is got the Filmfare award?,1
HIND6349970,Who gots the Filmfare award?,1
HIND6352737,Which is your favorite movie?,1
HIND6352737,Who is your favorite movie?,1
HIND6352737,Whose your favorite movie?,1
HIND6352737,Which is yours favorite movie?,1
HIND6357505,Which movie is releasing this Friday?,1
HIND6357505,Whose movie is releasing this Friday?,1
HIND6357505,Which movie will releasing this Friday?,1
HIND6357505,Which movie is release this Friday?,1
HIND6370337,What happens?,2
HIND6370337,What happened?,2
HIND6370337,How happened?,2
HIND6370337,When happened?,2
HIND6401856,You are really deserve this.,3
HIND6401856,You are really deserved this.,3
HIND6401856,You really deserved this.,3
HIND6401856,You did really deserved this.,3
HIND6404975,I am really exciting for you.,4
HIND6404975,I am really excitement for you.,4
HIND6404975,I am really excited to you.,4
HIND6404975,I am really excited for you.,4
HIND6407655,This is great news. Congrats!,1
HIND6407655,This is great news. Congrates!,1
HIND6407655,This are great news. Congrats!,1
HIND6407655,This is great news. Congregations!,1
HIND6420859,It doesn't rain outside.,2
HIND6420859,It's not raining outside.,2
HIND6420859,It is not rain outside.,2
HIND6420859,It will not rain outside.,2
HIND6422075,We are not coming home from the market.,1
HIND6422075,We were not coming home from the market.,1
HIND6422075,We are not come home from the market.,1
HIND6422075,We do not coming home from the market.,1
HIND6455450,They will going to stay in a hotel.,2
HIND6455450,They are going to stay in a hotel.,2
HIND6455450,They are go to stay in a hotel.,2
HIND6455450,They go to stay in a hotel.,2
HIND6484722,This is in reference to my appraisal.,1
HIND6484722,She is in reference to my appraisal.,1
HIND6484722,This is in reference to mine appraisal.,1
HIND6484722,This is refer to my appraisal.,1
HIND6542620,I usually having dinner at 8 o'clock.,3
HIND6542620,I am usually have dinner at 8 o'clock.,3
HIND6542620,I usually have dinner at 8 o'clock.,3
HIND6542620,I usually go dinner at 8 o'clock.,3
HIND6684730,Did I get the vegetables?,4
HIND6684730,Will I get the vegetables?,4
HIND6684730,Am I get the vegetables?,4
HIND6684730,Shall I get the vegetables?,4
HIND6753842,"If you heat water to 100 degrees Celsius, it boils.",1
HIND6753842,"If you heats water to 100 degrees Celsius, it boils.",1
HIND6753842,"If you heat water to 100 degrees Celsius, it boil.",1
HIND6753842,"If you heat water to 100 degrees Celsius, it's boils.",1
HIND7128868,My made does the dishes.,3
HIND7128868,My maid do the dishes.,3
HIND7128868,My maid does the dishes.,3
HIND7128868,My maid does washes the dishes.,3
HIND7132414,I like to hanging out with my friends on weekends.,2
HIND7132414,I like hanging out with my friends on weekends.,2
HIND7132414,I like hanging out with my friends in weekends.,2
HIND7132414,I like hang out with my friends on weekends.,2
HIND2804673,My name is John.,1
HIND2804673,Mine name is John.,1
HIND2804673,Myself John.,1
HIND2804673,My name are John.,1
HIND2816217,I am a John.,3
HIND2816217,Myself John.,3
HIND2816217,I am John.,3
HIND2816217,I am the John.,3
HIND2820012,What is your good name?,3
HIND2820012,What is your's name?,3
HIND2820012,What is your name?,3
HIND2820012,What is you're name?,3
HIND2828703,Your name is John,1
HIND2828703,Your name is the John,1
HIND2828703,Yours name is John,1
HIND2828703,Her name is John,1
HIND2831210,I am a student.,1
HIND2831210,I am student.,1
HIND2831210,I am the student.,1
HIND2831210,I a student.,1
HIND2833043,I am a teacher.,1
HIND2833043,I am teacher.,1
HIND2833043,I is a teacher.,1
HIND2833043,I are a teacher.,1
HIND2836472,How are you?,4
HIND2836472,Good morning.,4
HIND2836472,Good night.,4
HIND2836472,Hello.,4
HIND2839239,Hello! You are John.,3
HIND2839239,Hello! I is John.,3
HIND2839239,Hello! I am John.,3
HIND2839239,Hello! Myself John.,3
HIND2854353,Sick,2
HIND2854353,Fine,2
HIND2854353,Faine,2
HIND2854353,Not.,2
HIND2863406,I am from a India.,2
HIND2863406,I am from India.,2
HIND2863406,I am from the India.,2
HIND2863406,Myself from India.,2
HIND2864645,You are America from.,3
HIND2864645,Your from America.,3
HIND2864645,You are from America.,3
HIND2864645,You is from America.,3
HIND2869468,I am from a village.,1
HIND2869468,I am from village.,1
HIND2869468,I am from a city.,1
HIND2869468,I am from city.,1
HIND2885182,I am Indian.,1
HIND2885182,I have Indian.,1
HIND2885182,I am India.,1
HIND2885182,Myself Indian.,1
HIND2891839,We are the Indian.,2
HIND2891839,We are Indian.,2
HIND2891839,We Indian.,2
HIND2891839,We is Indian.,2
HIND2895815,Your American.,3
HIND2895815,You are the American.,3
HIND2895815,You are American.,3
HIND2895815,You is American.,3
HIND2901339,It is for Indian.,4
HIND2901339,Its Indian.,4
HIND2901339,It are Indian.,4
HIND2901339,It is Indian.,4
HIND2902541,She are American.,3
HIND2902541,She is the American.,3
HIND2902541,She is American.,3
HIND2902541,She am American.,3
HIND2905039,"I am from India, I am Indian.",1
HIND2905039,"I is from India, I is Indian.",1
HIND2905039,"I from India, I am Indian.",1
HIND2905039,"I am India, I am from Indian.",1
HIND2915145,"I'm from India, I'm Indian.",1
HIND2915145,"I's from India, I's Indian.",1
HIND2915145,"I're from India, I're Indian.",1
HIND2915145,"I'm India, I'm from Indian.",1
HIND2928622,I am not Indian.,1
HIND2928622,I not am Indian.,1
HIND2928622,I am Indian not.,1
HIND2928622,I no am Indian.,1
HIND2936676,I am no married.,4
HIND2936676,I'm not no married.,4
HIND2936676,I not married.,4
HIND2936676,I am not married.,4
HIND2941503,You're not American.,3
HIND2941503,You are not America.,3
HIND2941503,You are not from America.,3
HIND2941503,Your not from America.,3
HIND2942714,Your name is not John.,1
HIND2942714,Your not John.,1
HIND2942714,Your name is not is John.,1
HIND2942714,Your name not is John.,1
HIND2948856,Sarah are not American.,3
HIND2948856,Sarah is not the American.,3
HIND2948856,Sarah is not American.,3
HIND2948856,Sarah's isn't American.,3
HIND2950059,My name not is John.,4
HIND2950059,My name isn't not John.,4
HIND2950059,My name are not John.,4
HIND2950059,My name is not John.,4
HIND2952255,"I am not from India, I am not Indian.",1
HIND2952255,"I is not from India, I is not Indian.",1
HIND2952255,"I not from India, I am not Indian.",1
HIND2952255,"I amn't from India, I amn't Indian.",1
HIND2958525,"I'm not from India, I'm not Indian.",1
HIND2958525,"I amn't from India, I amn't Indian.",1
HIND2958525,"I'm am not from India, I'm am not Indian.",1
HIND2958525,"I'm not India, I'm not from Indian.",1
HIND2977929,Are you Chinese?,4
HIND2977929,Does she speak Chinese?,4
HIND2977929,Is she from China?,4
HIND2977929,Is she Chinese?,4
HIND2979132,Do she from India?,3
HIND2979132,Does she is from India?,3
HIND2979132,Is she from India?,3
HIND2979132,Are she from India?,3
HIND2980463,Do you are from Mumbai?,2
HIND2980463,Are you from Mumbai?,2
HIND2980463,Is you from Mumbai?,2
HIND2980463,Is she from Mumbai?,2
HIND3002537,Good night.,2
HIND3002537,Good morning.,2
HIND3002537,Good evening.,2
HIND3009502,Good night.,4
HIND3009502,Good evening.,4
HIND3009502,Good morning.,4
HIND3009502,Good afternoon.,4
HIND3012232,Good night,2
HIND3012232,Good evening,2
HIND3012232,Good morning,2
HIND3012232,Good afternoon,2
HIND3014949,Good afternoon.,2
HIND3014949,Good morning.,2
HIND3014949,Good evening.,2
HIND3014949,Good night.,2
HIND3016370,Good evening.,1
HIND3016370,Good night.,1
HIND3016370,Good morning.,1
HIND3016370,Good afternoon.,1
HIND3018427,Good morning.,3
HIND3018427,Good evening.,3
HIND3018427,Good afternoon.,3
HIND3018427,Good night.,3
HIND3019772,Good night,1
HIND3019772,Good morning.,1
HIND3019772,Good evening.,1
HIND3019772,Good afternoon.,1
HIND3028536,Good night.,1
HIND3028536,Good evening.,1
HIND3028536,Good morning.,1
HIND3028536,Good afternoon.,1
HIND3039173,Your welcome.,3
HIND3039173,Sorry.,3
HIND3039173,You are welcome.,3
HIND3039173,Mention not.,3
HIND3048586,Sorry,2
HIND3048586,Please,2
HIND3048586,Thank you,2
HIND3048586,Excuse me,2
HIND3050331,Sorry,1
HIND3050331,Please,1
HIND3050331,Thank you,1
HIND3050331,Welcome,1
HIND3057384,Hello,4
HIND3057384,Sorry,4
HIND3057384,Please,4
HIND3057384,Bye,4
HIND3059663,"Exquse me, Are you busy?",2
HIND3059663,"Excuse me, Are you busy?",2
HIND3059663,"Thank you, Are you busy?",2
HIND3059663,"Welcome, Are you busy?",2
HIND3067181,Please.,3
HIND3067181,You are welcome.,3
HIND3067181,All the best.,3
HIND3067181,Thank you.,3
HIND3068456,All the best.,4
HIND3068456,Good luck.,4
HIND3068456,Best of luck.,4
HIND3068456,Congrats.,4
HIND3070475,Congrates.,4
HIND3070475,You are welcome.,4
HIND3070475,Thank you.,4
HIND3070475,Congrats.,4
HIND3076199,Speak English.,3
HIND3076199,I English speak.,3
HIND3076199,I speak English.,3
HIND3076199,I am speaking English.,3
HIND3087441,I speak English.,1
