,Unnamed: 0,Slide ID,Options,Correct ID,pos_array,pos_delta
0,0,HIND6363511,Golmaal is one of the funniest movies.,1,"[""('Golmaal', 'NNP')"", ""('is', 'VBZ')"", ""('one', 'CD')"", ""('of', 'IN')"", ""('the', 'DT')"", ""('funniest', 'JJS')"", ""('movies', 'NNS')"", ""('.', '.')""]",[]
1,1,HIND6363511,Golmaal is one between the funniest movies.,1,"[""('Golmaal', 'NNP')"", ""('is', 'VBZ')"", ""('one', 'CD')"", ""('between', 'IN')"", ""('the', 'DT')"", ""('funniest', 'JJS')"", ""('movies', 'NNS')"", ""('.', '.')""]","[""('between', 'IN')""]"
2,2,HIND6363511,Golmaal is one of the funny movies.,1,"[""('Golmaal', 'NNP')"", ""('is', 'VBZ')"", ""('one', 'CD')"", ""('of', 'IN')"", ""('the', 'DT')"", ""('funny', 'JJ')"", ""('movies', 'NNS')"", ""('.', '.')""]","[""('funny', 'JJ')""]"
3,3,HIND6363511,Golmaal is first of the funniest movies.,1,"[""('Golmaal', 'NNP')"", ""('is', 'VBZ')"", ""('first', 'RB')"", ""('of', 'IN')"", ""('the', 'DT')"", ""('funniest', 'JJS')"", ""('movies', 'NNS')"", ""('.', '.')""]","[""('first', 'RB')""]"
4,4,HIND6376394,I am feel better.,4,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('feel', 'RB')"", ""('better', 'RB')"", ""('.', '.')""]","[""('better', 'RB')"", ""('feel', 'RB')""]"
5,5,HIND6376394,I do feeling better.,4,"[""('I', 'PRP')"", ""('do', 'VBP')"", ""('feeling', 'VBG')"", ""('better', 'RBR')"", ""('.', '.')""]","[""('do', 'VBP')""]"
6,6,HIND6376394,I will feel better.,4,"[""('I', 'PRP')"", ""('will', 'MD')"", ""('feel', 'VB')"", ""('better', 'RB')"", ""('.', '.')""]","[""('feel', 'VB')"", ""('better', 'RB')"", ""('will', 'MD')""]"
7,7,HIND6376394,I am feeling better.,4,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('feeling', 'VBG')"", ""('better', 'RBR')"", ""('.', '.')""]",[]
8,8,HIND6381348,I am still feeling a bit under the weather.,1,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('still', 'RB')"", ""('feeling', 'VBG')"", ""('a', 'DT')"", ""('bit', 'NN')"", ""('under', 'IN')"", ""('the', 'DT')"", ""('weather', 'NN')"", ""('.', '.')""]",[]
9,9,HIND6381348,I am still feel a bit under the weather.,1,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('still', 'RB')"", ""('feel', 'VB')"", ""('a', 'DT')"", ""('bit', 'NN')"", ""('under', 'IN')"", ""('the', 'DT')"", ""('weather', 'NN')"", ""('.', '.')""]","[""('feel', 'VB')""]"
10,10,HIND6381348,I do still feeling a bit under the weather.,1,"[""('I', 'PRP')"", ""('do', 'VBP')"", ""('still', 'RB')"", ""('feeling', 'VBG')"", ""('a', 'DT')"", ""('bit', 'NN')"", ""('under', 'IN')"", ""('the', 'DT')"", ""('weather', 'NN')"", ""('.', '.')""]","[""('do', 'VBP')""]"
11,11,HIND6381348,I am steal feeling a bit under the weather.,1,"[""('I', 'PRP')"", ""('am', 'VBP')"", ""('steal', 'JJ')"", ""('feeling', 'VBG')"", ""('a', 'DT')"", ""('bit', 'NN')"", ""('under', 'IN')"", ""('the', 'DT')"", ""('weather', 'NN')"", ""('.', '.')""]","[""('steal', 'JJ')""]"
12,12,HIND6394076,Take care of yourself.,1,"[""('Take', 'NNP')"", ""('care', 'NN')"", ""('of', 'IN')"", ""('yourself', 'PRP')"", ""('.', '.')""]",[]
13,13,HIND6394076,Take care of your.,1,"[""('Take', 'NNP')"", ""('care', 'NN')"", ""('of', 'IN')"", ""('your', 'PRP$')"", ""('.', '.')""]","[""('your', 'PRP$')""]"
14,14,HIND6394076,Take care of you.,1,"[""('Take', 'NNP')"", ""('care', 'NN')"", ""('of', 'IN')"", ""('you', 'PRP')"", ""('.', '.')""]","[""('you', 'PRP')""]"
15,15,HIND6394076,Takes care of yourself.,1,"[""('Takes', 'NNP')"", ""('care', 'NN')"", ""('of', 'IN')"", ""('yourself', 'PRP')"", ""('.', '.')""]","[""('Takes', 'NNP')""]"
16,16,HIND6417510,I hearded you got a new job. That's great news!,2,"[""('I', 'PRP')"", ""('hearded', 'VBD')"", ""('you', 'PRP')"", ""('got', 'VBD')"", ""('a', 'DT')"", ""('new', 'JJ')"", ""('job', 'NN')"", ""('.', '.')"", ""('That', 'DT')"", '(""\'s"", \'VBZ\')', ""('great', 'JJ')"", ""('news', 'NN')"", ""('!', '.')""]","[""('hearded', 'VBD')""]"
17,17,HIND6417510,I heard you got a new job. That's great news!,2,"[""('I', 'PRP')"", ""('heard', 'VBP')"", ""('you', 'PRP')"", ""('got', 'VBD')"", ""('a', 'DT')"", ""('new', 'JJ')"", ""('job', 'NN')"", ""('.', '.')"", ""('That', 'DT')"", '(""\'s"", \'VBZ\')', ""('great', 'JJ')"", ""('news', 'NN')"", ""('!', '.')""]",[]
