Slide ID,Options,Correct ID
HIND4525628,Is there three banks next to my house.,3
HIND4525628,There three banks next to my house.,3
HIND4525628,There are three banks next to my house.,3
HIND4525628,,3
HIND4528144,There aren't three banks next to my house.,1
HIND4528144,There isn't three banks next to my house.,1
HIND4528144,Not three banks next to my house.,1
HIND4528144,,1
HIND4529546,Is there a mall next to the restaurant?,1
HIND4529546,There are a mall next to the restaurant?,1
HIND4529546,Are a mall next to the restaurant?,1
HIND4529546,,1
HIND4530922,There is a temple near my house.,1
HIND4530922,There are a temple near my house.,1
HIND4530922,Is a temple near my house.,1
HIND4530922,,1
HIND4789049,I want some juice.,1
HIND4789049,I want few juice.,1
HIND4789049,I want many juice.,1
HIND4789049,,1
HIND4858343,I have a videos.,3
HIND4858343,I have any videos.,3
HIND4858343,I have some videos.,3
HIND4858343,I have much videos.,3
HIND4860165,"I don't have any skirts, but I have a dresses.",3
HIND4860165,"I don't have any skirts, but I have any dresses.",3
HIND4860165,"I don't have any skirts, but I have some dresses.",3
HIND4860165,"I don't have any skirts, but I have much dresses.",3
HIND4871073,She is a student.,1
HIND4871073,She is an student.,1
HIND4871073,She is the student.,1
HIND4871073,,1
HIND4878167,He is an principal of my school.,2
HIND4878167,He is the principal of my school.,2
HIND4878167,He is a principal of my school.,2
HIND4878167,,2
HIND4879395,He is a peon.,1
HIND4879395,He is an peon.,1
HIND4879395,He is the peon.,1
HIND4879395,,1
HIND4880610,Ram wants an bicycle.,2
HIND4880610,Ram wants a bicycle.,2
HIND4880610,Ram wants the bicycle.,2
HIND4880610,,2
HIND4882072,I have a car. The car is black.,1
HIND4882072,I have a car. A car is black.,1
HIND4882072,I have a car. An car is black.,1
HIND4882072,,1
HIND4883531,He is the great speaker.,2
HIND4883531,He is a great speaker.,2
HIND4883531,He is an great speaker.,2
HIND4883531,,2
HIND4884750,Nobody lives on a moon.,3
HIND4884750,Nobody lives on an moon.,3
HIND4884750,Nobody lives on the moon.,3
HIND4884750,,3
HIND4885962,This is an excellent book.,1
HIND4885962,This is a excellent book.,1
HIND4885962,This is the excellent book.,1
HIND4885962,,1
HIND4887179,A weather in Delhi is very nice.,3
HIND4887179,An weather in Delhi is very nice.,3
HIND4887179,The weather in Delhi is very nice.,3
HIND4887179,,3
HIND4888392,I love to visit the Taj Mahal.,1
HIND4888392,I love to visit a Taj Mahal.,1
HIND4888392,I love to visit an Taj Mahal.,1
HIND4888392,,1
HIND4889609,The Statue of Liberty is one of the seven wonders in the world.,1
HIND4889609,A Statue of Liberty is one of the seven wonders in the world.,1
HIND4889609,An Statue of Liberty is one of the seven wonders in the world.,1
HIND4889609,,1
HIND4890824,I am a engineer.,2
HIND4890824,I am an engineer.,2
HIND4890824,I am the engineer.,2
HIND4890824,,2
HIND4897145,I take the train to work.,1
HIND4897145,I am take the train to work.,1
HIND4897145,I takes the train to work.,1
HIND4897145,I have take the train to work.,1
HIND4898481,I take the train work.,2
HIND4898481,I take the train to work.,2
HIND4898481,I take the train on work.,2
HIND4898481,I take the train to the work.,2
HIND4899808,I work at a school. I am a doctor.,2
HIND4899808,I work at a school. I am a teacher.,2
HIND4899808,I work at a school. I am teacher.,2
HIND4899808,I work at a school. I am a dentist.,2
HIND4901032,I am a waiter. I work at a school.,2
HIND4901032,I am a waiter. I work at a restaurant.,2
HIND4901032,I am a waiter. I work at a hospital.,2
HIND4901032,I am a waiter. I work at a bank.,2
HIND4902299,I take the metro to work.,1
