,Slide ID,Options,Correct ID,pos_array
0,HIND6199593,We came in early today because we had a meeting.,1,"[('We', 'PRP'), ('came', 'VBD'), ('in', 'IN'), ('early', 'RB'), ('today', 'NN'), ('because', 'IN'), ('we', 'PRP'), ('had', 'VBD'), ('a', 'DT'), ('meeting', 'NN'), ('.', '.')]"
1,HIND6199593,We came in early today so we had a meeting.,1,"[('We', 'PRP'), ('came', 'VBD'), ('in', 'IN'), ('early', 'JJ'), ('today', 'NN'), ('so', 'IN'), ('we', 'PRP'), ('had', 'VBD'), ('a', 'DT'), ('meeting', 'NN'), ('.', '.')]"
2,HIND6199593,We came in early today but we had a meeting.,1,"[('We', 'PRP'), ('came', 'VBD'), ('in', 'IN'), ('early', 'JJ'), ('today', 'NN'), ('but', 'CC'), ('we', 'PRP'), ('had', 'VBD'), ('a', 'DT'), ('meeting', 'NN'), ('.', '.')]"
3,HIND6199593,We came in early today that's why we had a meeting.,1,"[('We', 'PRP'), ('came', 'VBD'), ('in', 'IN'), ('early', 'JJ'), ('today', 'NN'), ('that', 'WDT'), (""'s"", 'VBZ'), ('why', 'WRB'), ('we', 'PRP'), ('had', 'VBD'), ('a', 'DT'), ('meeting', 'NN'), ('.', '.')]"
4,HIND6345499,Whose your favorite singer?,2,"[('Whose', 'VB'), ('your', 'PRP$'), ('favorite', 'JJ'), ('singer', 'NN'), ('?', '.')]"
5,HIND6345499,Who is your favorite singer?,2,"[('Who', 'WP'), ('is', 'VBZ'), ('your', 'PRP$'), ('favorite', 'JJ'), ('singer', 'NN'), ('?', '.')]"
6,HIND6345499,Who is yours favorite singer?,2,"[('Who', 'WP'), ('is', 'VBZ'), ('yours', 'RB'), ('favorite', 'JJ'), ('singer', 'NN'), ('?', '.')]"
7,HIND6345499,Whom is your favorite singer?,2,"[('Whom', 'NNP'), ('is', 'VBZ'), ('your', 'PRP$'), ('favorite', 'JJ'), ('singer', 'NN'), ('?', '.')]"
8,HIND6349970,Who got the Filmfare award?,1,"[('Who', 'WP'), ('got', 'VBD'), ('the', 'DT'), ('Filmfare', 'NNP'), ('award', 'NN'), ('?', '.')]"
9,HIND6349970,Whose got the Filmfare award?,1,"[('Whose', 'NNP'), ('got', 'VBD'), ('the', 'DT'), ('Filmfare', 'NNP'), ('award', 'NN'), ('?', '.')]"
