,Slide ID,Options,Correct ID,pos_array
0,HIND6363511,Golmaal is one of the funniest movies.,1,"[('Golmaal', 'NNP'), ('is', 'VBZ'), ('one', 'CD'), ('of', 'IN'), ('the', 'DT'), ('funniest', 'JJS'), ('movies', 'NNS'), ('.', '.')]"
1,HIND6363511,Golmaal is one between the funniest movies.,1,"[('Golmaal', 'NNP'), ('is', 'VBZ'), ('one', 'CD'), ('between', 'IN'), ('the', 'DT'), ('funniest', 'JJS'), ('movies', 'NNS'), ('.', '.')]"
2,HIND6363511,Golmaal is one of the funny movies.,1,"[('Golmaal', 'NNP'), ('is', 'VBZ'), ('one', 'CD'), ('of', 'IN'), ('the', 'DT'), ('funny', 'JJ'), ('movies', 'NNS'), ('.', '.')]"
3,HIND6363511,Golmaal is first of the funniest movies.,1,"[('Golmaal', 'NNP'), ('is', 'VBZ'), ('first', 'RB'), ('of', 'IN'), ('the', 'DT'), ('funniest', 'JJS'), ('movies', 'NNS'), ('.', '.')]"
4,HIND6376394,I am feel better.,4,"[('I', 'PRP'), ('am', 'VBP'), ('feel', 'RB'), ('better', 'RB'), ('.', '.')]"
5,HIND6376394,I do feeling better.,4,"[('I', 'PRP'), ('do', 'VBP'), ('feeling', 'VBG'), ('better', 'RBR'), ('.', '.')]"
6,HIND6376394,I will feel better.,4,"[('I', 'PRP'), ('will', 'MD'), ('feel', 'VB'), ('better', 'RB'), ('.', '.')]"
7,HIND6376394,I am feeling better.,4,"[('I', 'PRP'), ('am', 'VBP'), ('feeling', 'VBG'), ('better', 'RBR'), ('.', '.')]"
8,HIND6381348,I am still feeling a bit under the weather.,1,"[('I', 'PRP'), ('am', 'VBP'), ('still', 'RB'), ('feeling', 'VBG'), ('a', 'DT'), ('bit', 'NN'), ('under', 'IN'), ('the', 'DT'), ('weather', 'NN'), ('.', '.')]"
9,HIND6381348,I am still feel a bit under the weather.,1,"[('I', 'PRP'), ('am', 'VBP'), ('still', 'RB'), ('feel', 'VB'), ('a', 'DT'), ('bit', 'NN'), ('under', 'IN'), ('the', 'DT'), ('weather', 'NN'), ('.', '.')]"
10,HIND6381348,I do still feeling a bit under the weather.,1,"[('I', 'PRP'), ('do', 'VBP'), ('still', 'RB'), ('feeling', 'VBG'), ('a', 'DT'), ('bit', 'NN'), ('under', 'IN'), ('the', 'DT'), ('weather', 'NN'), ('.', '.')]"
11,HIND6381348,I am steal feeling a bit under the weather.,1,"[('I', 'PRP'), ('am', 'VBP'), ('steal', 'JJ'), ('feeling', 'VBG'), ('a', 'DT'), ('bit', 'NN'), ('under', 'IN'), ('the', 'DT'), ('weather', 'NN'), ('.', '.')]"
12,HIND6394076,Take care of yourself.,1,"[('Take', 'NNP'), ('care', 'NN'), ('of', 'IN'), ('yourself', 'PRP'), ('.', '.')]"
13,HIND6394076,Take care of your.,1,"[('Take', 'NNP'), ('care', 'NN'), ('of', 'IN'), ('your', 'PRP$'), ('.', '.')]"
14,HIND6394076,Take care of you.,1,"[('Take', 'NNP'), ('care', 'NN'), ('of', 'IN'), ('you', 'PRP'), ('.', '.')]"
15,HIND6394076,Takes care of yourself.,1,"[('Takes', 'NNP'), ('care', 'NN'), ('of', 'IN'), ('yourself', 'PRP'), ('.', '.')]"
