Slide ID,Options,Correct ID,pos_array
HIND4700548,How much are those shoes in the window over there?,1,"[('How', 'WRB'), ('much', 'JJ'), ('are', 'VBP'), ('those', 'DT'), ('shoes', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('window', 'NN'), ('over', 'IN'), ('there', 'RB'), ('?', '.')]"
HIND4700548,How much are these shoes in the window over there?,1,"[('How', 'WRB'), ('much', 'JJ'), ('are', 'VBP'), ('these', 'DT'), ('shoes', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('window', 'NN'), ('over', 'IN'), ('there', 'RB'), ('?', '.')]"
HIND4700548,How much are that shoes in the window over there?,1,"[('How', 'WRB'), ('much', 'JJ'), ('are', 'VBP'), ('that', 'IN'), ('shoes', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('window', 'NN'), ('over', 'IN'), ('there', 'RB'), ('?', '.')]"
HIND4700548,How much are this shoes in the window over there?,1,"[('How', 'WRB'), ('much', 'JJ'), ('are', 'VBP'), ('this', 'DT'), ('shoes', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('window', 'NN'), ('over', 'IN'), ('there', 'RB'), ('?', '.')]"
HIND4060599,My brown skirt fit me well.,2,"[('My', 'PRP$'), ('brown', 'JJ'), ('skirt', 'NN'), ('fit', 'VBP'), ('me', 'PRP'), ('well', 'RB'), ('.', '.')]"
HIND4060599,My brown skirt fits me well.,2,"[('My', 'PRP$'), ('brown', 'JJ'), ('skirt', 'NN'), ('fits', 'NNS'), ('me', 'PRP'), ('well', 'RB'), ('.', '.')]"
HIND4060599,My brown skirt is fit me well.,2,"[('My', 'PRP$'), ('brown', 'JJ'), ('skirt', 'NN'), ('is', 'VBZ'), ('fit', 'JJ'), ('me', 'PRP'), ('well', 'RB'), ('.', '.')]"
HIND4060599,My brown skirt is fits me well.,2,"[('My', 'PRP$'), ('brown', 'JJ'), ('skirt', 'NN'), ('is', 'VBZ'), ('fits', 'NNS'), ('me', 'PRP'), ('well', 'RB'), ('.', '.')]"
HIND6462367,Mohan is go to be three in June.,2,"[('Mohan', 'NNP'), ('is', 'VBZ'), ('go', 'VB'), ('to', 'TO'), ('be', 'VB'), ('three', 'CD'), ('in', 'IN'), ('June', 'NNP'), ('.', '.')]"
HIND6462367,Mohan is going to be three in June.,2,"[('Mohan', 'NNP'), ('is', 'VBZ'), ('going', 'VBG'), ('to', 'TO'), ('be', 'VB'), ('three', 'CD'), ('in', 'IN'), ('June', 'NNP'), ('.', '.')]"
HIND6462367,Mohan is will be three in June.,2,"[('Mohan', 'NNP'), ('is', 'VBZ'), ('will', 'MD'), ('be', 'VB'), ('three', 'CD'), ('in', 'IN'), ('June', 'NNP'), ('.', '.')]"
