,Slide ID,Options,Correct ID,is_correct
0,HIND4700548,How much are those shoes in the window over there?,1.0,0
1,HIND4700548,How much are these shoes in the window over there?,1.0,0
2,HIND4700548,How much are that shoes in the window over there?,1.0,0
3,HIND4700548,How much are this shoes in the window over there?,1.0,0
4,HIND4060599,My brown skirt fit me well.,2.0,0
5,HIND4060599,My brown skirt fits me well.,2.0,0
6,HIND4060599,My brown skirt is fit me well.,2.0,0
7,HIND4060599,My brown skirt is fits me well.,2.0,0
8,HIND6462367,Mohan is go to be three in June.,2.0,0
9,HIND6462367,Mohan is going to be three in June.,2.0,0
10,HIND6462367,Mohan is will be three in June.,2.0,0
11,HIND6462367,Mohan is going to three in June.,2.0,0
12,HIND7137001,I prefer relaxed on weekends.,3.0,0
13,HIND7137001,I prefer relax on weekends.,3.0,0
14,HIND7137001,I prefer relaxing on weekends.,3.0,0
15,HIND7137001,I prefer to relaxed on weekends.,3.0,0
16,HIND4554774,Are there a supermarket in this neighborhood.,2.0,0
17,HIND4554774,There isn't a supermarket in this neighborhood.,2.0,0
18,HIND4554774,Is there a supermarket in this neighborhood.,2.0,0
19,HIND4554774,,2.0,0
20,HIND3453742,<default-male-name2> and I is good chess players.,3.0,0
21,HIND3453742,<default-male-name2> and I am good chess players.,3.0,0
22,HIND3453742,<default-male-name2> and I are good chess players.,3.0,0
23,HIND3453742,,3.0,0
24,HIND4446526,New York has busy streets.,1.0,0
25,HIND4446526,New York has busy place.,1.0,0
26,HIND4446526,New York has busy city.,1.0,0
27,HIND4446526,New York has busy is street.,1.0,0
28,HIND3578403,Your friend speak Japanese.,3.0,0
29,HIND3578403,Your friend speaking Japanese.,3.0,0
30,HIND3578403,Your friend speaks Japanese.,3.0,0
31,HIND3578403,,3.0,0
32,HIND3588242,Does your sisters speak English?,2.0,0
33,HIND3588242,Do your sisters speak English?,2.0,0
34,HIND3588242,Are your sisters speak English?,2.0,0
35,HIND3588242,,2.0,0
36,HIND4703799,Can I try this skirt on?,1.0,0
37,HIND4703799,Can I try these skirt on?,1.0,0
38,HIND4703799,Can I try those skirt on?,1.0,0
39,HIND4703799,,1.0,0
40,HIND6557857,We will go out for breakfast.,1.0,0
41,HIND6557857,We will have out for breakfast.,1.0,0
42,HIND6557857,We will to have out for breakfast.,1.0,0
43,HIND6557857,We will going out for breakfast.,1.0,0
44,HIND3938068,Does <default-female-name2> has a daughter?,2.0,0
45,HIND3938068,Does <default-female-name2> have a daughter?,2.0,0
46,HIND3938068,Does <default-female-name2> is has a daughter?,2.0,0
47,HIND3938068,,2.0,0
48,HIND3585812,Our brothers speak Japanese.,1.0,0
49,HIND3585812,Our brothers speaking Japanese.,1.0,0
50,HIND3585812,Our brothers speaks Japanese.,1.0,0
51,HIND3585812,,1.0,0
52,HIND6406308,Congrats on your promotion.,1.0,0
53,HIND6406308,Congrats to your promotion.,1.0,0
54,HIND6406308,Congrats from your promotion.,1.0,0
55,HIND6406308,,1.0,0
56,HIND4516499,<default-male-name2> sits next to me in the class.,1.0,0
57,HIND4516499,<default-male-name2> sits behind to me in the class.,1.0,0
58,HIND4516499,<default-male-name2> sits under to me in the class.,1.0,0
59,HIND4516499,<default-male-name2> sits in front of to me in the class.,1.0,0
60,HIND6389014,I hope you feeling better soon.,3.0,0
61,HIND6389014,I hope you are feeling better soon.,3.0,0
62,HIND6389014,I hope you feel better soon.,3.0,0
63,HIND6389014,I hope you will felt better soon.,3.0,0
64,HIND6560526,Let's have for dinner together.,4.0,0
65,HIND6560526,Let's go dinner together.,4.0,0
